ID,Name,Comment,Cognateset_ID
2976-1,Cf.,,2976
2978-1,Cf.,,2978
2979-1,Cf.,,2979
2982-1,Cf.,,2982
2983-1,Cf.,,2983
2986-1,Cf.,,2986
2986-2,Cf. also,,2986
2985-1,Cf.,,2985
2991-1,Cf.,,2991
2992-1,Cf.,,2992
2993-1,Cf.,,2993
2994-1,Cf.,,2994
2996-1,Cf.,,2996
2996-2,Cf. also,,2996
2997-1,Cf.,,2997
3001-1,Cf.,,3001
3002-1,Cf.,,3002
3002-2,Cf. also,,3002
3003-1,Cf.,,3003
3007-1,Cf.,,3007
3008-1,Cf.,,3008
3012-1,Cf. also,,3012
3012-2,and cf.,,3012
3013-1,Cf.,,3013
3017-1,Cf.,,3017
3018-1,Cf.,,3018
3020-1,Cf.,,3020
3021-1,Cf.,,3021
3022-1,Cf.,,3022
3026-1,Cf.,,3026
3027-1,Cf.,,3027
3029-1,Cf.,,3029
3044-1,Cf.,,3044
3047-1,Cf.,,3047
3047-2,and cf.,,3047
3048-1,Cf.,,3048
3049-1,Cf.,,3049
3050-1,Cf.,,3050
3052-1,Cf.,,3052
3052-2,Cf. also,,3052
3054-1,Cf.,,3054
3056-1,Cf.,,3056
3058-1,Note also,,3058
3060-1,Cf.,,3060
3066-1,Cf.,,3066
3068-1,Cf.,,3068
3073-1,Cf.,,3073
3075-1,Cf.,,3075
3077-1,Cf.,,3077
3078-1,Cf.,,3078
3080-1,Cf.,,3080
3082-1,Cf.,,3082
3084-1,Cf.,,3084
3084-2,Cf. also,,3084
3085-1,Cf.,,3085
3085-2,Cf.,,3085
3086-1,Cf.,,3086
3086-2,Cf. also,,3086
3088-1,Note also,,3088
3089-1,Cf.,,3089
3093-1,See also,,3093
3094-1,See also,,3094
3096-1,Cf.,,3096
3097-1,Cf.,,3097
3095-1,Note,,3095
3095-2,Cf.,,3095
3098-1,Cf.,,3098
3101-1,See also,,3101
3103-1,Cf.,,3103
3105-1,Cf.,,3105
3108-1,Cf.,,3108
3111-1,Cf.,,3111
3111-2,Cf.,,3111
3113-1,Cf.,,3113
3116-1,Cf.,,3116
3120-1,Cf.,,3120
3120-2,and cf.,,3120
3122-1,Cf.,,3122
3122-2,Cf. also,,3122
3126-1,Cf.,,3126
3127-1,Cf.,,3127
3128-1,Cf.,,3128
3129-1,Cf.,,3129
3131-1,Cf.,,3131
3133-1,Cf.,,3133
3136-1,Cf.,,3136
3138-1,Cf.,,3138
3140-1,Cf.,,3140
3143-1,"Note, also",,3143
3143-2,Cf.,,3143
3144-1,Cf.,,3144
3145-1,Cf.,,3145
3146-1,Cf.,,3146
3148-1,Cf.,,3148
3149-1,Cf.,,3149
3149-2,Cf. also,,3149
3156-1,Cf.,,3156
3163-1,Cf.,,3163
3163-2,Cf.,,3163
3164-1,Cf.,,3164
3168-1,Cf.,,3168
3167-1,Cf.,,3167
3167-2,Cf. also,,3167
3169-1,Cf.,,3169
3173-1,Cf.,,3173
3174-1,Cf.,,3174
3176-1,Cf.,,3176
3176-2,also,,3176
3176-3,Cf. also,,3176
3177-1,See also,,3177
3178-1,Cf.,,3178
3181-1,Cf.,,3181
3182-1,Cf.,,3182
3184-1,Cf.,,3184
3187-1,Cf.,,3187
3187-2,Cf. also,,3187
3188-1,Cf.,,3188
3191-1,Cf.,,3191
3193-1,Cf.,,3193
3194-1,Cf.,,3194
3196-1,Cf.,,3196
3200-1,Cf.,,3200
3201-1,See also,,3201
3201-2,Cf.,,3201
3202-1,Cf.,,3202
3203-1,Cf.,,3203
3206-1,Cf.,,3206
3206-2,Cf.,,3206
3207-1,Cf.,,3207
3209-1,Cf.,,3209
3213-1,Cf.,,3213
3216-1,Cf.,,3216
3217-1,Cf.,,3217
3218-1,Cf.,,3218
3220-1,Cf.,,3220
3221-1,Cf.,,3221
3222-1,Cf.,,3222
3222-2,Cf. also,,3222
3223-1,Cf.,,3223
3224-1,Cf.,,3224
3225-1,Cf.,,3225
3227-1,Cf.,,3227
3227-2,Cf. also,,3227
3229-1,Cf.,,3229
3231-1,Cf.,,3231
3231-2,Cf. also,,3231
3232-1,Cf.,,3232
3238-1,Cf.,,3238
3238-2,Cf. also,,3238
3242-1,Cf.,,3242
3243-1,Cf.,,3243
3244-1,Cf.,,3244
3247-1,Cf.,,3247
3249-1,Cf.,,3249
3251-1,Cf.,,3251
3252-1,Cf.,,3252
3253-1,Cf. also,,3253
3254-1,Cf.,,3254
3254-2,Cf. also,,3254
3257-1,Cf.,,3257
3260-1,Cf.,,3260
3264-1,Cf.,,3264
3265-1,Cf.,,3265
3269-1,Cf.,,3269
3273-1,Cf.,,3273
3275-1,Cf.,,3275
3275-2,Cf. also,,3275
3276-1,Cf.,,3276
3277-1,Cf.,,3277
3283-1,Cf.,,3283
3284-1,Cf.,,3284
3286-1,Cf.,,3286
3287-1,Cf.,,3287
3292-1,Cf.,,3292
3294-1,Cf.,,3294
3295-1,Cf.,,3295
3296-1,Cf.,,3296
3296-2,Note also,,3296
3297-1,Cf.,,3297
3298-1,Cf.,,3298
3299-1,Cf.,,3299
3302-1,Cf.,,3302
3307-1,Cf.,,3307
3308-1,Cf.,,3308
3311-1,Cf.,,3311
3312-1,Cf.,,3312
3313-1,Cf.,,3313
3317-1,Cf.,,3317
3319-1,Cf.,,3319
3320-1,Cf.,,3320
3322-1,Cf.,,3322
3322-2,Cf. also,,3322
3322-3,but,,3322
3323-1,Cf.,,3323
3325-1,Cf.,,3325
3329-1,Cf.,,3329
3337-1,Cf.,,3337
3337-2,Cf. also,,3337
3338-1,Cf.,,3338
3341-1,Cf.,,3341
3342-1,Cf.,,3342
3343-1,Cf.,,3343
3347-1,Cf.,,3347
3347-2,Cf. also,,3347
3348-1,Cf.,,3348
3350-1,Cf.,,3350
3351-1,Cf.,,3351
3353-1,Cf.,,3353
3354-1,Cf.,,3354
3356-1,See also,,3356
3358-1,Cf.,,3358
3360-1,Cf.,,3360
3360-2,Cf.,,3360
3361-1,Cf.,,3361
3363-1,Cf.,,3363
3364-1,Cf.,,3364
3364-2,Cf. also,,3364
3366-1,Cf.,,3366
3367-1,Cf.,,3367
3367-2,and cf.,,3367
3368-1,Cf.,,3368
3370-1,Cf.,,3370
3372-1,Cf.,,3372
3374-1,Cf.,,3374
3375-1,Cf.,,3375
3380-1,Cf.,,3380
3382-1,Cf.,,3382
3384-1,Cf.,,3384
3386-1,Cf.,,3386
3390-1,Cf.,,3390
3393-1,Cf.,,3393
3393-2,Note also,,3393
3394-1,Cf.,,3394
3399-1,Cf.,,3399
3399-2,Cf. also,,3399
3400-1,Note also,,3400
3400-2,Cf.,,3400
3403-1,Cf.,,3403
3404-1,Cf.,,3404
3404-2,Cf. also,,3404
3405-1,Cf.,,3405
3406-1,Note also,,3406
3406-2,Cf.,,3406
3412-1,See also,,3412
3412-2,Cf.,,3412
3414-1,Cf.,,3414
3416-1,Cf.,,3416
3417-1,Cf. also,,3417
3418-1,Cf.,,3418
3418-2,Cf. also,,3418
3421-1,Cf.,,3421
3422-1,Cf.,,3422
3423-1,Cf.,,3423
3424-1,Cf.,,3424
3425-1,Cf.,,3425
3426-1,Cf.,,3426
3429-1,Cf.,,3429
3430-1,Cf.,,3430
3432-1,Cf.,,3432
3433-1,Cf.,,3433
3434-1,Note also,,3434
3434-2,See also,,3434
3437-1,Cf.,,3437
3441-1,Cf.,,3441
3445-1,Cf.,,3445
3447-1,Cf.,,3447
3450-1,Cf.,,3450
3451-1,Cf.,,3451
3452-1,Cf.,,3452
3454-1,For prenasalized variant see,,3454
3455-1,Cf.,,3455
3456-1,Note also,,3456
3456-2,Cf.,,3456
3456-3,Note the prenasalized doublets:,,3456
3458-1,Cf.,,3458
3464-1,Cf.,,3464
3467-1,Cf.,,3467
3468-1,Cf.,,3468
3468-2,Cf. also,,3468
3470-1,Cf.,,3470
3473-1,Cf.,,3473
3477-1,Cf.,,3477
3480-1,Cf.,,3480
3481-1,Cf.,,3481
3482-1,Cf.,,3482
3484-1,Cf.,,3484
3487-1,See also,,3487
3487-2,Note also,,3487
